order_id,user_id,order_date,order_value
ord_user_0000_00,user_0000,2023-04-06,11.54
ord_user_0000_01,user_0000,2023-05-27,143.69
ord_user_0000_02,user_0000,2023-08-21,35.48
ord_user_0000_03,user_0000,2023-09-02,25.75
ord_user_0000_04,user_0000,2023-10-29,19.82
ord_user_0000_05,user_0000,2023-11-12,13.03
ord_user_0000_06,user_0000,2024-02-05,88.04
ord_user_0001_00,user_0001,2023-05-20,58.21
ord_user_0001_01,user_0001,2023-05-28,146.08
ord_user_0001_02,user_0001,2023-06-06,48.96
ord_user_0002_00,user_0002,2023-03-09,68.57
ord_user_0002_01,user_0002,2023-04-10,86.38
ord_user_0002_02,user_0002,2023-05-21,41.94
ord_user_0002_03,user_0002,2023-07-19,107.94
ord_user_0002_04,user_0002,2023-09-10,55.61
ord_user_0002_05,user_0002,2023-09-30,115.55
ord_user_0002_06,user_0002,2023-10-08,15.07
ord_user_0002_07,user_0002,2023-12-18,139.86
ord_user_0003_00,user_0003,2023-01-24,105.34
ord_user_0003_01,user_0003,2023-03-29,141.43
ord_user_0003_02,user_0003,2023-06-21,40.64
ord_user_0003_03,user_0003,2023-08-03,34.5
ord_user_0003_04,user_0003,2023-10-18,63.45
ord_user_0003_05,user_0003,2023-11-26,71.0
ord_user_0003_06,user_0003,2024-02-02,129.03
ord_user_0003_07,user_0003,2024-02-05,129.54
ord_user_0004_00,user_0004,2023-08-29,11.94
ord_user_0004_01,user_0004,2023-09-10,49.59
ord_user_0004_02,user_0004,2023-09-20,74.77
ord_user_0004_03,user_0004,2023-10-06,143.04
ord_user_0004_04,user_0004,2024-01-01,125.98
ord_user_0005_00,user_0005,2023-04-20,66.25
ord_user_0005_01,user_0005,2023-07-01,106.85
ord_user_0005_02,user_0005,2023-09-11,44.88
ord_user_0005_03,user_0005,2023-10-05,107.48
ord_user_0005_04,user_0005,2023-12-17,65.25
ord_user_0005_05,user_0005,2023-12-25,135.47
ord_user_0005_06,user_0005,2024-01-22,21.88
ord_user_0006_00,user_0006,2023-06-13,45.98
ord_user_0006_01,user_0006,2023-06-25,36.15
ord_user_0006_02,user_0006,2023-09-23,102.84
ord_user_0006_03,user_0006,2023-11-22,137.94
ord_user_0006_04,user_0006,2024-01-22,112.88
ord_user_0007_00,user_0007,2023-01-01,97.13
ord_user_0007_01,user_0007,2023-02-27,53.05
ord_user_0007_02,user_0007,2023-05-09,54.56
ord_user_0007_03,user_0007,2023-08-01,146.33
ord_user_0007_04,user_0007,2023-10-11,10.97
ord_user_0007_05,user_0007,2023-11-27,134.86
ord_user_0007_06,user_0007,2024-01-03,26.73
ord_user_0008_00,user_0008,2023-05-17,117.41
ord_user_0008_01,user_0008,2023-07-21,35.77
ord_user_0008_02,user_0008,2023-08-04,117.53
ord_user_0008_03,user_0008,2023-09-12,87.43
ord_user_0008_04,user_0008,2023-11-26,89.66
ord_user_0008_05,user_0008,2024-01-08,35.24
ord_user_0008_06,user_0008,2024-01-13,20.37
ord_user_0009_00,user_0009,2023-08-20,89.89
ord_user_0009_01,user_0009,2023-11-04,48.08
ord_user_0009_02,user_0009,2023-11-30,52.57
ord_user_0009_03,user_0009,2024-01-01,126.92
ord_user_0009_04,user_0009,2024-02-02,28.87
ord_user_0010_00,user_0010,2023-04-22,32.58
ord_user_0010_01,user_0010,2023-06-29,63.75
ord_user_0010_02,user_0010,2023-08-29,79.99
ord_user_0010_03,user_0010,2023-11-20,47.16
ord_user_0010_04,user_0010,2024-02-11,77.76
ord_user_0011_00,user_0011,2023-05-08,128.22
ord_user_0011_01,user_0011,2023-06-15,110.54
ord_user_0011_02,user_0011,2023-08-23,129.44
ord_user_0011_03,user_0011,2023-10-16,80.85
ord_user_0011_04,user_0011,2023-10-22,74.52
ord_user_0011_05,user_0011,2023-11-12,145.63
ord_user_0011_06,user_0011,2024-01-23,119.5
ord_user_0011_07,user_0011,2024-02-06,48.24
ord_user_0012_00,user_0012,2023-11-21,87.91
ord_user_0012_01,user_0012,2024-02-11,104.51
ord_user_0013_00,user_0013,2023-02-11,73.94
ord_user_0013_01,user_0013,2023-03-10,12.28
ord_user_0013_02,user_0013,2023-05-25,127.16
ord_user_0013_03,user_0013,2023-06-23,86.65
ord_user_0014_00,user_0014,2023-12-29,73.42
ord_user_0014_01,user_0014,2024-01-01,139.73
ord_user_0014_02,user_0014,2024-02-27,119.92
ord_user_0015_00,user_0015,2023-11-21,122.32
ord_user_0015_01,user_0015,2024-01-25,78.56
ord_user_0016_00,user_0016,2023-09-22,143.69
ord_user_0016_01,user_0016,2023-11-27,37.82
ord_user_0016_02,user_0016,2024-01-29,21.53
ord_user_0017_00,user_0017,2023-10-30,136.15
ord_user_0017_01,user_0017,2023-12-19,20.24
ord_user_0017_02,user_0017,2024-02-03,100.6
ord_user_0018_00,user_0018,2023-09-18,61.09
ord_user_0018_01,user_0018,2023-09-20,58.22
ord_user_0018_02,user_0018,2023-09-23,141.58
ord_user_0018_03,user_0018,2023-10-28,97.81
ord_user_0018_04,user_0018,2024-01-06,113.57
ord_user_0019_00,user_0019,2023-12-10,117.41
ord_user_0019_01,user_0019,2023-12-21,28.65
ord_user_0019_02,user_0019,2023-12-29,146.4
ord_user_0019_03,user_0019,2024-01-13,28.87
ord_user_0019_04,user_0019,2024-01-30,74.18
ord_user_0020_00,user_0020,2023-06-06,14.8
ord_user_0020_01,user_0020,2023-08-05,24.52
ord_user_0020_02,user_0020,2023-10-22,60.84
ord_user_0020_03,user_0020,2024-01-19,94.28
ord_user_0021_00,user_0021,2023-10-16,20.44
ord_user_0022_00,user_0022,2023-06-29,98.9
ord_user_0022_01,user_0022,2023-08-18,121.9
ord_user_0022_02,user_0022,2023-10-02,28.06
ord_user_0022_03,user_0022,2023-11-21,130.09
ord_user_0022_04,user_0022,2024-02-11,67.66
ord_user_0023_00,user_0023,2023-06-16,93.3
ord_user_0023_01,user_0023,2023-09-03,85.54
ord_user_0023_02,user_0023,2023-11-02,29.73
ord_user_0023_03,user_0023,2023-11-04,59.13
ord_user_0023_04,user_0023,2024-01-29,50.08
ord_user_0024_00,user_0024,2023-10-13,123.28
ord_user_0024_01,user_0024,2023-11-12,142.57
ord_user_0024_02,user_0024,2023-12-03,122.87
ord_user_0024_03,user_0024,2023-12-04,17.57
ord_user_0024_04,user_0024,2024-01-07,71.4
ord_user_0024_05,user_0024,2024-01-28,73.94
ord_user_0025_00,user_0025,2023-09-24,65.91
ord_user_0025_01,user_0025,2023-10-29,101.44
ord_user_0025_02,user_0025,2024-01-18,80.75
ord_user_0026_00,user_0026,2023-01-04,123.43
ord_user_0026_01,user_0026,2023-03-21,117.57
ord_user_0026_02,user_0026,2023-04-12,103.02
ord_user_0026_03,user_0026,2023-04-26,68.84
ord_user_0026_04,user_0026,2023-05-04,10.51
ord_user_0026_05,user_0026,2023-05-21,120.64
ord_user_0026_06,user_0026,2023-06-24,37.31
ord_user_0026_07,user_0026,2023-09-08,95.58
ord_user_0026_08,user_0026,2023-11-03,131.29
ord_user_0026_09,user_0026,2023-11-09,64.56
ord_user_0026_10,user_0026,2024-01-26,127.95
ord_user_0027_00,user_0027,2023-10-07,133.33
ord_user_0027_01,user_0027,2023-12-18,110.86
ord_user_0027_02,user_0027,2023-12-20,116.42
ord_user_0027_03,user_0027,2024-02-23,132.72
ord_user_0027_04,user_0027,2024-02-28,21.21
ord_user_0028_00,user_0028,2023-10-31,70.91
ord_user_0028_01,user_0028,2023-11-08,68.05
ord_user_0028_02,user_0028,2023-12-30,51.22
ord_user_0028_03,user_0028,2024-01-02,31.86
ord_user_0028_04,user_0028,2024-02-24,42.33
ord_user_0029_00,user_0029,2023-01-19,97.27
ord_user_0029_01,user_0029,2023-02-12,90.71
ord_user_0029_02,user_0029,2023-03-14,13.4
ord_user_0029_03,user_0029,2023-06-08,12.8
ord_user_0029_04,user_0029,2023-08-09,26.96
ord_user_0029_05,user_0029,2023-10-28,105.96
ord_user_0029_06,user_0029,2023-12-01,62.82
ord_user_0029_07,user_0029,2023-12-10,38.9
ord_user_0029_08,user_0029,2023-12-30,96.15
ord_user_0029_09,user_0029,2024-01-03,52.36
ord_user_0029_10,user_0029,2024-01-11,102.54
ord_user_0029_11,user_0029,2024-02-11,132.41
ord_user_0030_00,user_0030,2023-11-07,21.39
ord_user_0030_01,user_0030,2023-12-07,66.09
ord_user_0030_02,user_0030,2024-01-03,55.17
ord_user_0031_00,user_0031,2023-05-26,72.98
ord_user_0031_01,user_0031,2023-07-20,96.43
ord_user_0031_02,user_0031,2023-10-06,87.7
ord_user_0031_03,user_0031,2023-10-30,144.1
ord_user_0031_04,user_0031,2024-01-03,99.76
ord_user_0031_05,user_0031,2024-02-13,84.4
ord_user_0032_00,user_0032,2023-03-07,143.32
ord_user_0032_01,user_0032,2023-05-19,47.51
ord_user_0033_00,user_0033,2023-04-28,124.74
ord_user_0033_01,user_0033,2023-07-11,78.97
ord_user_0033_02,user_0033,2023-09-23,138.43
ord_user_0033_03,user_0033,2023-10-16,79.59
ord_user_0033_04,user_0033,2024-01-10,63.39
ord_user_0033_05,user_0033,2024-02-14,41.57
ord_user_0034_00,user_0034,2023-04-06,108.64
ord_user_0035_00,user_0035,2023-09-20,85.98
ord_user_0035_01,user_0035,2023-10-03,99.49
ord_user_0035_02,user_0035,2023-12-13,116.38
ord_user_0035_03,user_0035,2024-01-21,145.46
ord_user_0036_00,user_0036,2023-01-11,108.73
ord_user_0036_01,user_0036,2023-02-24,26.87
ord_user_0036_02,user_0036,2023-03-15,41.12
ord_user_0036_03,user_0036,2023-05-06,105.68
ord_user_0036_04,user_0036,2023-08-03,33.89
ord_user_0036_05,user_0036,2023-08-15,45.38
ord_user_0036_06,user_0036,2023-09-03,77.95
ord_user_0036_07,user_0036,2023-10-08,42.79
ord_user_0036_08,user_0036,2023-12-23,62.41
ord_user_0037_00,user_0037,2023-08-03,107.71
ord_user_0037_01,user_0037,2023-08-13,124.58
ord_user_0037_02,user_0037,2023-10-12,86.28
ord_user_0037_03,user_0037,2023-12-09,96.97
ord_user_0037_04,user_0037,2024-02-24,134.04
ord_user_0038_00,user_0038,2023-10-20,28.22
ord_user_0038_01,user_0038,2023-11-14,112.15
ord_user_0038_02,user_0038,2024-02-10,73.89
ord_user_0039_00,user_0039,2023-02-20,64.36
ord_user_0039_01,user_0039,2023-03-28,144.19
ord_user_0039_02,user_0039,2023-04-22,87.17
ord_user_0039_03,user_0039,2023-05-04,80.72
ord_user_0040_00,user_0040,2023-01-25,37.07
ord_user_0040_01,user_0040,2023-02-10,115.19
ord_user_0040_02,user_0040,2023-05-01,110.22
ord_user_0040_03,user_0040,2023-06-20,148.33
ord_user_0040_04,user_0040,2023-07-02,91.88
ord_user_0040_05,user_0040,2023-08-08,52.21
ord_user_0040_06,user_0040,2023-09-07,79.46
ord_user_0040_07,user_0040,2023-11-05,27.39
ord_user_0040_08,user_0040,2023-12-25,109.85
ord_user_0040_09,user_0040,2024-01-06,102.1
ord_user_0040_10,user_0040,2024-01-31,61.42
ord_user_0041_00,user_0041,2023-04-22,109.13
ord_user_0041_01,user_0041,2023-05-04,44.37
ord_user_0041_02,user_0041,2023-07-16,78.53
ord_user_0041_03,user_0041,2023-07-30,10.59
ord_user_0041_04,user_0041,2023-07-31,60.21
ord_user_0041_05,user_0041,2023-09-20,72.03
ord_user_0041_06,user_0041,2023-10-03,147.35
ord_user_0041_07,user_0041,2023-12-04,127.41
ord_user_0041_08,user_0041,2024-02-07,17.44
ord_user_0042_00,user_0042,2023-08-11,111.04
ord_user_0042_01,user_0042,2023-10-25,24.46
ord_user_0042_02,user_0042,2023-12-21,15.21
ord_user_0042_03,user_0042,2023-12-24,125.78
ord_user_0042_04,user_0042,2024-01-10,139.75
ord_user_0043_00,user_0043,2023-12-18,143.36
ord_user_0043_01,user_0043,2023-12-31,145.1
