payment_id,order_id,payment_status,payment_method
pay_ord_user_0000_00,ord_user_0000_00,Success,Google Pay
pay_ord_user_0000_01,ord_user_0000_01,Success,Cash
pay_ord_user_0000_02,ord_user_0000_02,Success,Apple Pay
pay_ord_user_0000_03,ord_user_0000_03,Success,Apple Pay
pay_ord_user_0000_04,ord_user_0000_04,Success,Credit Card
pay_ord_user_0000_05,ord_user_0000_05,Success,Cash
pay_ord_user_0000_06,ord_user_0000_06,Success,Cash
pay_ord_user_0001_00,ord_user_0001_00,Success,Cash
pay_ord_user_0001_01,ord_user_0001_01,Success,Google Pay
pay_ord_user_0001_02,ord_user_0001_02,Success,Google Pay
pay_ord_user_0002_00,ord_user_0002_00,Success,Apple Pay
pay_ord_user_0002_01,ord_user_0002_01,Success,Credit Card
pay_ord_user_0002_02,ord_user_0002_02,Success,Google Pay
pay_ord_user_0002_03,ord_user_0002_03,Success,Apple Pay
pay_ord_user_0002_04,ord_user_0002_04,Success,Apple Pay
pay_ord_user_0002_05,ord_user_0002_05,Success,Apple Pay
pay_ord_user_0002_06,ord_user_0002_06,Success,Credit Card
pay_ord_user_0002_07,ord_user_0002_07,Success,Google Pay
pay_ord_user_0003_00,ord_user_0003_00,Success,Google Pay
pay_ord_user_0003_01,ord_user_0003_01,Success,Apple Pay
pay_ord_user_0003_02,ord_user_0003_02,Success,Google Pay
pay_ord_user_0003_03,ord_user_0003_03,Success,Google Pay
pay_ord_user_0003_04,ord_user_0003_04,Success,Credit Card
pay_ord_user_0003_05,ord_user_0003_05,Success,Google Pay
pay_ord_user_0003_06,ord_user_0003_06,Success,Google Pay
pay_ord_user_0003_07,ord_user_0003_07,Success,Google Pay
pay_ord_user_0004_00,ord_user_0004_00,Success,Google Pay
pay_ord_user_0004_01,ord_user_0004_01,Success,Credit Card
pay_ord_user_0004_02,ord_user_0004_02,Success,Google Pay
pay_ord_user_0004_03,ord_user_0004_03,Success,Apple Pay
pay_ord_user_0004_04,ord_user_0004_04,Success,Apple Pay
pay_ord_user_0005_00,ord_user_0005_00,Success,Apple Pay
pay_ord_user_0005_01,ord_user_0005_01,Success,Cash
pay_ord_user_0005_02,ord_user_0005_02,Success,Cash
pay_ord_user_0005_03,ord_user_0005_03,Success,Google Pay
pay_ord_user_0005_04,ord_user_0005_04,Success,Apple Pay
pay_ord_user_0005_05,ord_user_0005_05,Success,Cash
pay_ord_user_0005_06,ord_user_0005_06,Success,Google Pay
pay_ord_user_0006_00,ord_user_0006_00,Success,Google Pay
pay_ord_user_0006_01,ord_user_0006_01,Success,Google Pay
pay_ord_user_0006_02,ord_user_0006_02,Success,Credit Card
pay_ord_user_0006_03,ord_user_0006_03,Success,Google Pay
pay_ord_user_0006_04,ord_user_0006_04,Success,Apple Pay
pay_ord_user_0007_00,ord_user_0007_00,Success,Credit Card
pay_ord_user_0007_01,ord_user_0007_01,Success,Cash
pay_ord_user_0007_02,ord_user_0007_02,Success,Credit Card
pay_ord_user_0007_03,ord_user_0007_03,Success,Google Pay
pay_ord_user_0007_04,ord_user_0007_04,Success,Google Pay
pay_ord_user_0007_05,ord_user_0007_05,Success,Cash
pay_ord_user_0007_06,ord_user_0007_06,Success,Google Pay
pay_ord_user_0008_00,ord_user_0008_00,Success,Google Pay
pay_ord_user_0008_01,ord_user_0008_01,Success,Cash
pay_ord_user_0008_02,ord_user_0008_02,Success,Cash
pay_ord_user_0008_03,ord_user_0008_03,Success,Google Pay
pay_ord_user_0008_04,ord_user_0008_04,Success,Apple Pay
pay_ord_user_0008_05,ord_user_0008_05,Success,Google Pay
pay_ord_user_0008_06,ord_user_0008_06,Success,Credit Card
pay_ord_user_0009_00,ord_user_0009_00,Success,Credit Card
pay_ord_user_0009_01,ord_user_0009_01,Success,Apple Pay
pay_ord_user_0009_02,ord_user_0009_02,Success,Cash
pay_ord_user_0009_03,ord_user_0009_03,Success,Google Pay
pay_ord_user_0009_04,ord_user_0009_04,Success,Credit Card
pay_ord_user_0010_00,ord_user_0010_00,Success,Apple Pay
pay_ord_user_0010_01,ord_user_0010_01,Success,Cash
pay_ord_user_0010_02,ord_user_0010_02,Success,Credit Card
