user_id,signup_date,user_type
user_0000,2023-04-06,Premium
user_0001,2023-05-20,Corporate
user_0002,2023-03-09,Corporate
user_0003,2023-01-24,Premium
user_0004,2023-08-29,Basic
user_0005,2023-04-20,Basic
user_0006,2023-06-13,Corporate
user_0007,2023-01-01,Premium
user_0008,2023-05-17,Basic
user_0009,2023-08-20,Premium
user_0010,2023-04-22,Premium
user_0011,2023-05-08,Corporate
user_0012,2023-11-21,Corporate
user_0013,2023-02-11,Premium
user_0014,2023-12-29,Premium
user_0015,2023-11-21,Basic
user_0016,2023-09-22,Basic
user_0017,2023-10-30,Corporate
user_0018,2023-09-18,Basic
user_0019,2023-12-10,Corporate
user_0020,2023-06-06,Basic
user_0021,2023-10-16,Basic
user_0022,2023-06-29,Basic
user_0023,2023-06-16,Premium
user_0024,2023-10-13,Premium
user_0025,2023-09-24,Corporate
user_0026,2023-01-04,Basic
user_0027,2023-10-07,Corporate
user_0028,2023-10-31,Basic
user_0029,2023-01-19,Corporate
user_0030,2023-11-07,Premium
user_0031,2023-05-26,Corporate
user_0032,2023-03-07,Basic
user_0033,2023-04-28,Corporate
user_0034,2023-04-06,Premium
user_0035,2023-09-20,Basic
user_0036,2023-01-11,Corporate
user_0037,2023-08-03,Basic
user_0038,2023-10-20,Basic
user_0039,2023-02-20,Basic
user_0040,2023-01-25,Basic
user_0041,2023-04-22,Basic
user_0042,2023-08-11,Corporate
user_0043,2023-12-18,Premium
user_0044,2023-02-25,Premium
user_0045,2023-03-03,Premium
user_0046,2023-10-30,Corporate
user_0047,2023-05-05,Corporate
user_0048,2023-06-05,Corporate
user_0049,2023-03-31,Corporate
user_0050,2023-03-22,Corporate
user_0051,2023-12-25,Premium
user_0052,2023-03-01,Premium
user_0053,2023-07-15,Basic
user_0054,2023-03-02,Corporate
user_0055,2023-06-23,Corporate
user_0056,2023-04-12,Corporate
user_0057,2023-04-29,Corporate
user_0058,2023-10-03,Basic
user_0059,2023-02-15,Corporate
user_0060,2023-03-05,Basic
user_0061,2023-10-05,Basic
user_0062,2023-06-06,Premium
user_0063,2023-09-08,Corporate
user_0064,2023-03-16,Premium
user_0065,2023-03-18,Basic
user_0066,2023-09-29,Premium
user_0067,2023-07-26,Basic
user_0068,2023-05-23,Basic
user_0069,2023-02-11,Corporate
user_0070,2023-03-01,Premium
user_0071,2023-01-21,Corporate
user_0072,2023-11-09,Corporate
user_0073,2023-06-07,Basic
user_0074,2023-09-15,Corporate
user_0075,2023-01-22,Corporate
user_0076,2023-09-19,Basic
user_0077,2023-10-11,Corporate
user_0078,2024-01-01,Premium
user_0079,2023-05-04,Premium
user_0080,2023-05-14,Basic
user_0081,2023-08-01,Basic
user_0082,2023-08-20,Basic
user_0083,2023-12-19,Basic
user_0084,2023-06-03,Premium
user_0085,2024-01-01,Premium
user_0086,2023-01-12,Basic
user_0087,2023-09-24,Basic
user_0088,2023-02-25,Premium
user_0089,2023-11-25,Premium
user_0090,2023-04-22,Premium
user_0091,2023-12-11,Corporate
user_0092,2023-12-05,Premium
user_0093,2023-06-21,Basic
user_0094,2023-06-25,Corporate
user_0095,2023-07-09,Corporate
user_0096,2023-11-24,Premium
user_0097,2023-07-21,Premium
user_0098,2023-07-29,Premium
user_0099,2023-02-05,Basic
user_0100,2023-03-08,Premium
user_0101,2023-05-07,Basic
user_0102,2023-03-01,Corporate
user_0103,2023-05-29,Corporate
user_0104,2023-04-03,Corporate
user_0105,2023-01-10,Basic
user_0106,2023-03-19,Basic
user_0107,2023-03-02,Corporate
user_0108,2023-09-17,Basic
user_0109,2023-11-20,Corporate
user_0110,2023-02-09,Corporate
user_0111,2023-02-03,Premium
user_0112,2023-07-28,Corporate
user_0113,2023-02-22,Corporate
user_0114,2023-11-16,Premium
user_0115,2023-06-21,Basic
user_0116,2023-05-20,Corporate
user_0117,2023-05-24,Premium
user_0118,2023-05-16,Basic
user_0119,2023-10-11,Premium
user_0120,2023-09-16,Corporate
user_0121,2023-04-30,Corporate
user_0122,2023-09-09,Corporate
user_0123,2023-08-15,Basic
user_0124,2023-11-19,Corporate
user_0125,2023-07-17,Premium
user_0126,2023-07-12,Premium
user_0127,2023-09-02,Corporate
user_0128,2023-06-04,Premium
user_0129,2023-01-08,Corporate
user_0130,2023-02-21,Premium
user_0131,2023-04-08,Basic
user_0132,2023-09-27,Basic
user_0133,2023-05-05,Basic
user_0134,2023-02-15,Premium
user_0135,2023-09-15,Corporate
user_0136,2023-09-29,Premium
user_0137,2023-12-20,Basic
user_0138,2023-11-16,Corporate
user_0139,2023-02-05,Corporate
user_0140,2023-04-05,Corporate
user_0141,2023-05-10,Basic
user_0142,2023-05-09,Corporate
user_0143,2023-02-16,Corporate
user_0144,2023-09-20,Premium
user_0145,2023-06-05,Basic
user_0146,2023-04-28,Premium
user_0147,2023-03-19,Corporate
user_0148,2023-04-02,Basic
user_0149,2023-11-19,Corporate
user_0150,2023-10-25,Corporate
user_0151,2023-02-05,Corporate
user_0152,2023-09-29,Premium
user_0153,2023-01-14,Premium
user_0154,2023-06-16,Corporate
user_0155,2023-07-06,Premium
user_0156,2023-04-30,Corporate
user_0157,2023-01-29,Corporate
user_0158,2023-02-16,Corporate
user_0159,2023-07-17,Premium
user_0160,2023-11-22,Basic
user_0161,2023-02-25,Premium
user_0162,2023-04-08,Basic
user_0163,2023-04-27,Premium
user_0164,2023-07-11,Basic
user_0165,2023-08-06,Corporate
user_0166,2023-10-13,Premium
user_0167,2023-12-01,Corporate
user_0168,2023-08-21,Premium
user_0169,2023-06-06,Corporate
user_0170,2023-06-13,Corporate
user_0171,2023-11-10,Premium
user_0172,2023-09-30,Basic
user_0173,2023-03-05,Basic
user_0174,2023-10-11,Premium
user_0175,2023-12-05,Basic
user_0176,2023-04-11,Basic
user_0177,2023-10-31,Basic
user_0178,2023-03-30,Premium
user_0179,2023-12-21,Corporate
user_0180,2023-05-21,Premium
user_0181,2023-12-21,Basic
user_0182,2023-01-18,Premium
user_0183,2023-06-24,Premium
user_0184,2023-10-11,Premium
user_0185,2023-05-22,Corporate
user_0186,2023-07-09,Corporate
user_0187,2023-12-13,Corporate
user_0188,2024-01-01,Corporate
user_0189,2023-03-01,Basic
user_0190,2023-04-17,Premium
user_0191,2023-07-03,Corporate
user_0192,2023-09-04,Basic
user_0193,2023-01-26,Basic
user_0194,2023-09-26,Premium
user_0195,2023-07-18,Corporate
user_0196,2023-04-30,Corporate
user_0197,2023-09-21,Corporate
user_0198,2023-02-08,Corporate
user_0199,2023-03-02,Premium
user_0200,2023-11-07,Corporate
user_0201,2023-02-27,Basic
user_0202,2023-10-22,Premium
user_0203,2023-07-04,Corporate
user_0204,2023-10-15,Basic
user_0205,2023-11-28,Basic
user_0206,2023-07-22,Basic
user_0207,2023-12-07,Premium
user_0208,2023-01-22,Corporate
user_0209,2023-03-12,Corporate
user_0210,2023-08-06,Corporate
user_0211,2023-01-07,Corporate
user_0212,2023-05-16,Basic
user_0213,2023-11-26,Premium
user_0214,2023-04-02,Premium
user_0215,2023-12-30,Premium
user_0216,2023-01-10,Premium
user_0217,2023-04-22,Corporate
user_0218,2023-01-13,Basic
user_0219,2023-06-19,Premium
user_0220,2023-05-16,Basic
user_0221,2023-08-21,Corporate
user_0222,2023-08-29,Premium
user_0223,2023-04-26,Premium
user_0224,2023-05-10,Corporate
user_0225,2023-06-26,Basic
user_0226,2023-10-21,Premium
user_0227,2023-06-11,Basic
user_0228,2023-07-06,Basic
user_0229,2023-03-23,Premium
user_0230,2023-11-11,Basic
user_0231,2023-01-30,Premium
user_0232,2023-12-21,Premium
user_0233,2023-01-08,Corporate
user_0234,2023-05-24,Premium
user_0235,2023-01-23,Basic
user_0236,2023-04-20,Corporate
user_0237,2023-11-18,Premium
user_0238,2023-05-09,Basic
user_0239,2023-07-16,Basic
user_0240,2023-07-02,Premium
user_0241,2023-02-08,Corporate
user_0242,2023-10-03,Corporate
user_0243,2023-03-02,Basic
user_0244,2023-12-24,Corporate
user_0245,2023-05-02,Corporate
user_0246,2023-06-30,Corporate
user_0247,2023-07-26,Corporate
user_0248,2023-08-23,Corporate
user_0249,2023-10-30,Basic
user_0250,2023-07-24,Basic
user_0251,2023-02-07,Basic
user_0252,2023-02-05,Corporate
user_0253,2023-04-20,Corporate
user_0254,2023-05-17,Corporate
user_0255,2023-06-17,Basic
user_0256,2023-05-22,Premium
user_0257,2023-08-22,Premium
user_0258,2023-12-03,Corporate
user_0259,2023-12-08,Corporate
user_0260,2023-10-26,Corporate
user_0261,2023-10-04,Corporate
user_0262,2023-06-12,Basic
user_0263,2023-12-11,Basic
user_0264,2023-03-14,Corporate
user_0265,2023-02-07,Basic
user_0266,2023-01-15,Basic
user_0267,2023-04-07,Corporate
user_0268,2023-10-05,Corporate
user_0269,2023-02-22,Basic
user_0270,2023-08-30,Corporate
user_0271,2023-04-26,Corporate
user_0272,2023-11-12,Corporate
user_0273,2023-09-26,Basic
user_0274,2023-12-11,Corporate
user_0275,2023-03-04,Corporate
user_0276,2023-12-09,Corporate
user_0277,2023-10-10,Corporate
user_0278,2023-01-14,Basic
user_0279,2023-07-26,Basic
user_0280,2023-04-22,Corporate
user_0281,2023-01-09,Basic
user_0282,2023-01-13,Corporate
user_0283,2023-07-18,Premium
user_0284,2023-03-03,Basic
user_0285,2023-05-04,Basic
user_0286,2023-07-01,Corporate
user_0287,2023-04-01,Basic
user_0288,2023-03-19,Corporate
user_0289,2023-08-25,Basic
user_0290,2023-12-24,Basic
user_0291,2023-02-19,Basic
user_0292,2023-04-23,Corporate
user_0293,2023-10-17,Premium
user_0294,2023-03-19,Basic
user_0295,2023-05-05,Premium
user_0296,2023-03-29,Corporate
user_0297,2023-04-21,Basic
user_0298,2023-07-15,Corporate
user_0299,2023-07-05,Corporate
user_0300,2023-11-27,Premium
user_0301,2023-03-09,Basic
user_0302,2023-08-21,Basic
user_0303,2023-09-21,Basic
user_0304,2023-02-24,Basic
user_0305,2023-10-26,Corporate
user_0306,2023-01-14,Basic
user_0307,2023-05-16,Corporate
user_0308,2023-05-29,Corporate
user_0309,2023-07-03,Corporate
user_0310,2023-10-15,Corporate
user_0311,2023-01-19,Premium
user_0312,2023-01-03,Premium
user_0313,2023-08-11,Premium
user_0314,2023-09-23,Basic
user_0315,2023-11-24,Corporate
user_0316,2023-10-04,Premium
user_0317,2023-11-16,Basic
user_0318,2023-07-15,Basic
user_0319,2023-09-10,Basic
user_0320,2023-09-17,Premium
user_0321,2023-04-05,Basic
user_0322,2023-03-13,Corporate
user_0323,2023-08-24,Corporate
user_0324,2023-03-19,Basic
user_0325,2023-03-05,Corporate
user_0326,2023-12-03,Basic
user_0327,2023-10-29,Basic
user_0328,2023-07-12,Premium
user_0329,2023-07-11,Basic
user_0330,2023-03-28,Corporate
user_0331,2023-10-17,Premium
user_0332,2023-11-08,Premium
user_0333,2023-08-02,Premium
user_0334,2023-08-22,Corporate
user_0335,2023-11-19,Corporate
user_0336,2023-11-14,Corporate
user_0337,2023-08-14,Premium
user_0338,2023-11-01,Corporate
user_0339,2023-12-21,Basic
user_0340,2023-06-18,Premium
user_0341,2023-11-03,Basic
user_0342,2023-07-31,Basic
user_0343,2023-02-23,Basic
user_0344,2023-06-08,Premium
user_0345,2023-09-24,Premium
user_0346,2023-09-07,Basic
user_0347,2023-02-01,Basic
user_0348,2023-10-23,Premium
user_0349,2023-07-07,Premium
user_0350,2023-01-14,Premium
user_0351,2023-12-09,Premium
user_0352,2023-12-06,Basic
user_0353,2023-06-24,Premium
user_0354,2023-01-15,Premium
user_0355,2023-10-01,Corporate
user_0356,2023-12-08,Corporate
user_0357,2023-09-16,Premium
user_0358,2023-07-30,Basic
user_0359,2023-10-14,Basic
user_0360,2023-06-16,Basic
user_0361,2023-02-13,Basic
user_0362,2023-12-01,Corporate
user_0363,2023-04-23,Corporate
user_0364,2023-06-13,Corporate
user_0365,2023-01-25,Premium
user_0366,2023-08-12,Corporate
user_0367,2023-11-12,Basic
user_0368,2023-07-31,Premium
user_0369,2023-05-05,Premium
user_0370,2023-07-23,Basic
user_0371,2023-07-08,Corporate
user_0372,2023-08-23,Premium
user_0373,2023-10-06,Basic
user_0374,2023-06-25,Corporate
user_0375,2023-02-07,Premium
user_0376,2023-04-17,Corporate
user_0377,2023-07-01,Basic
user_0378,2023-07-07,Corporate
user_0379,2023-01-27,Corporate
user_0380,2023-09-11,Premium
user_0381,2023-04-25,Premium
user_0382,2023-07-09,Basic
user_0383,2023-05-04,Premium
user_0384,2023-11-12,Corporate
user_0385,2023-03-24,Basic
user_0386,2023-12-22,Corporate
user_0387,2023-10-01,Basic
user_0388,2023-07-28,Basic
user_0389,2023-11-13,Corporate
user_0390,2023-01-31,Basic
user_0391,2023-09-23,Corporate
user_0392,2023-04-07,Corporate
user_0393,2023-03-24,Premium
user_0394,2023-02-12,Premium
user_0395,2023-10-21,Premium
user_0396,2023-05-25,Premium
user_0397,2023-12-17,Corporate
user_0398,2023-06-27,Basic
user_0399,2023-06-03,Basic
user_0400,2023-06-29,Corporate
user_0401,2023-10-03,Corporate
user_0402,2023-03-28,Corporate
user_0403,2023-02-04,Corporate
user_0404,2023-02-18,Corporate
user_0405,2023-10-29,Corporate
user_0406,2023-07-30,Premium
user_0407,2023-07-20,Corporate
user_0408,2023-01-04,Basic
user_0409,2023-03-01,Premium
user_0410,2023-02-15,Basic
user_0411,2023-07-31,Basic
user_0412,2023-02-25,Basic
user_0413,2023-03-06,Premium
user_0414,2023-10-20,Corporate
user_0415,2023-09-28,Premium
user_0416,2023-03-31,Basic
user_0417,2023-11-27,Basic
user_0418,2023-10-07,Corporate
user_0419,2023-02-15,Basic
user_0420,2023-02-02,Corporate
user_0421,2023-02-06,Corporate
user_0422,2023-04-03,Corporate
user_0423,2023-01-20,Corporate
user_0424,2023-09-03,Premium
user_0425,2023-03-12,Premium
user_0426,2023-01-24,Premium
user_0427,2023-06-09,Premium
user_0428,2023-03-16,Premium
user_0429,2023-02-11,Corporate
user_0430,2023-03-04,Corporate
user_0431,2023-01-18,Basic
user_0432,2023-06-09,Premium
user_0433,2023-08-22,Basic
user_0434,2023-08-25,Corporate
user_0435,2023-11-10,Corporate
user_0436,2023-11-23,Corporate
user_0437,2023-09-19,Premium
user_0438,2023-07-19,Premium
user_0439,2023-03-18,Premium
user_0440,2023-12-19,Corporate
user_0441,2023-10-21,Corporate
user_0442,2023-06-17,Premium
user_0443,2023-09-21,Corporate
user_0444,2023-02-03,Premium
user_0445,2023-03-20,Premium
user_0446,2023-08-28,Premium
user_0447,2023-10-26,Premium
user_0448,2023-06-15,Premium
user_0449,2023-07-22,Basic
user_0450,2023-10-01,Corporate
user_0451,2023-06-05,Basic
user_0452,2023-03-28,Basic
user_0453,2023-10-11,Basic
user_0454,2023-10-18,Premium
user_0455,2023-06-28,Premium
user_0456,2023-07-02,Premium
user_0457,2023-06-23,Premium
user_0458,2023-07-27,Premium
user_0459,2023-08-11,Basic
user_0460,2023-06-16,Corporate
user_0461,2023-07-28,Basic
user_0462,2023-05-04,Basic
user_0463,2023-05-24,Premium
user_0464,2023-12-22,Premium
user_0465,2023-06-17,Corporate
user_0466,2023-11-06,Premium
user_0467,2023-10-11,Corporate
user_0468,2023-12-08,Corporate
user_0469,2023-01-23,Basic
user_0470,2023-07-26,Basic
user_0471,2023-03-14,Premium
user_0472,2023-10-04,Corporate
user_0473,2023-02-07,Basic
user_0474,2023-02-10,Corporate
user_0475,2023-12-31,Corporate
user_0476,2023-07-12,Basic
user_0477,2023-03-13,Basic
user_0478,2023-07-31,Premium
user_0479,2023-01-09,Corporate
user_0480,2023-11-14,Basic
user_0481,2023-01-04,Basic
user_0482,2023-01-15,Premium
user_0483,2023-11-01,Basic
user_0484,2023-07-31,Basic
user_0485,2023-04-11,Premium
user_0486,2023-06-15,Corporate
user_0487,2023-04-18,Basic
user_0488,2023-02-04,Corporate
user_0489,2023-01-08,Premium
user_0490,2023-10-14,Basic
user_0491,2023-10-23,Corporate
user_0492,2023-09-05,Premium
user_0493,2023-12-07,Premium
user_0494,2023-05-16,Premium
user_0495,2023-03-15,Corporate
user_0496,2023-03-07,Corporate
user_0497,2023-05-24,Premium
user_0498,2023-11-03,Corporate
user_0499,2023-09-07,Premium
user_0500,2023-05-29,Corporate
user_0501,2023-10-11,Corporate
user_0502,2023-10-31,Corporate
user_0503,2023-11-04,Premium
user_0504,2023-06-28,Basic
user_0505,2023-01-08,Corporate
user_0506,2023-11-22,Premium
user_0507,2023-01-05,Corporate
user_0508,2023-01-15,Premium
user_0509,2023-04-29,Basic
user_0510,2023-12-05,Premium
user_0511,2023-03-18,Corporate
user_0512,2023-10-28,Premium
user_0513,2023-03-18,Basic
user_0514,2023-12-25,Basic
user_0515,2023-09-30,Premium
user_0516,2023-06-05,Premium
user_0517,2023-01-20,Premium
user_0518,2023-09-14,Basic
user_0519,2023-01-16,Corporate
user_0520,2023-05-11,Basic
user_0521,2023-04-20,Corporate
user_0522,2023-02-25,Corporate
user_0523,2023-09-19,Premium
user_0524,2023-03-17,Premium
user_0525,2023-07-02,Basic
user_0526,2023-12-09,Corporate
user_0527,2023-11-22,Basic
user_0528,2023-04-27,Basic
user_0529,2023-02-21,Premium
user_0530,2023-03-07,Basic
user_0531,2023-04-05,Premium
user_0532,2023-01-14,Basic
user_0533,2023-11-22,Basic
user_0534,2023-04-18,Premium
user_0535,2023-04-23,Corporate
user_0536,2023-11-12,Basic
user_0537,2023-02-28,Corporate
user_0538,2023-08-18,Basic
user_0539,2023-01-09,Basic
user_0540,2023-10-21,Basic
user_0541,2023-04-02,Basic
user_0542,2023-12-06,Premium
user_0543,2023-02-14,Premium
user_0544,2023-12-11,Basic
user_0545,2023-08-23,Corporate
user_0546,2023-06-23,Corporate
user_0547,2023-02-07,Basic
user_0548,2023-01-16,Premium
user_0549,2023-06-27,Basic
user_0550,2023-07-08,Premium
user_0551,2023-06-19,Corporate
user_0552,2023-01-23,Premium
user_0553,2023-04-12,Premium
user_0554,2023-03-22,Basic
user_0555,2023-12-30,Premium
user_0556,2023-05-12,Corporate
user_0557,2023-03-28,Premium
user_0558,2023-05-29,Premium
user_0559,2023-02-25,Basic
